geography_level,GEOID,GEOIDFQ,NAMELSAD,point_count,industry_code_count,total_employee_count,total_revenue,revenue_record_count
census_tract,54039013100,1400000US54039013100,Census Tract 131,91,59,1177,225418000,66
census_tract,54039013300,1400000US54039013300,Census Tract 133,14,14,53,28846000,10
census_tract,54039013500,1400000US54039013500,Census Tract 135,47,33,568,181992000,31
census_tract,54039013600,1400000US54039013600,Census Tract 136,304,131,3070,593292000,210
census_tract,54039013701,1400000US54039013701,Census Tract 137.01,18,16,90,4423000,9
census_tract,54039013702,1400000US54039013702,Census Tract 137.02,37,28,233,25047000,24
census_tract,54039013800,1400000US54039013800,Census Tract 138,74,54,732,253902000,58
census_tract,54041967500,1400000US54041967500,Census Tract 9675,84,49,1525,128634000,50
census_tract,54039012200,1400000US54039012200,Census Tract 122,85,48,487,72849000,49
census_tract,54039012900,1400000US54039012900,Census Tract 129,346,153,4868,1610095000,248
census_tract,54039013200,1400000US54039013200,Census Tract 132,48,40,415,77949000,36
census_tract,54039013400,1400000US54039013400,Census Tract 134,52,40,412,123785000,31
census_tract,54041967200,1400000US54041967200,Census Tract 9672,35,28,188,40031000,24
census_tract,54041967300,1400000US54041967300,Census Tract 9673,146,89,1195,146689000,102
census_tract,54041967400,1400000US54041967400,Census Tract 9674,228,116,1923,380661000,142
census_tract,54041967600,1400000US54041967600,Census Tract 9676,102,61,1112,71568000,65
census_tract,54045956800,1400000US54045956800,Census Tract 9568,68,36,679,182410000,34
census_tract,54047953900,1400000US54047953900,Census Tract 9539,21,18,83,9179000,13
census_tract,54043955401,1400000US54043955401,Census Tract 9554.01,64,37,357,22784000,37
census_tract,54043955402,1400000US54043955402,Census Tract 9554.02,34,23,174,139313000,17
census_tract,54043955500,1400000US54043955500,Census Tract 9555,118,65,1021,61132000,65
census_tract,54043955600,1400000US54043955600,Census Tract 9556,79,48,489,31834000,50
census_tract,54043955800,1400000US54043955800,Census Tract 9558,33,22,166,9036000,16
census_tract,54043955700,1400000US54043955700,Census Tract 9557,37,26,229,15653000,25
census_tract,54045956102,1400000US54045956102,Census Tract 9561.02,120,73,759,70335000,84
census_tract,54045956400,1400000US54045956400,Census Tract 9564,109,57,665,89253000,63
census_tract,54045956700,1400000US54045956700,Census Tract 9567,63,37,432,165229000,36
census_tract,54045956900,1400000US54045956900,Census Tract 9569,210,105,2070,232448000,116
census_tract,54045956103,1400000US54045956103,Census Tract 9561.03,103,58,813,143183000,67
census_tract,54045956104,1400000US54045956104,Census Tract 9561.04,9,9,101,2325000,4
census_tract,54045956200,1400000US54045956200,Census Tract 9562,223,102,2328,446286000,153
census_tract,54045956500,1400000US54045956500,Census Tract 9565,46,26,409,88608000,24
census_tract,54045956600,1400000US54045956600,Census Tract 9566,99,47,1338,106917000,51
census_tract,54047953600,1400000US54047953600,Census Tract 9536,17,9,62,3321000,6
census_tract,54047953800,1400000US54047953800,Census Tract 9538,64,31,650,71832000,31
census_tract,54047954000,1400000US54047954000,Census Tract 9540,39,28,257,13622000,23
census_tract,54047954200,1400000US54047954200,Census Tract 9542,26,12,46,2626000,6
census_tract,54047954501,1400000US54047954501,Census Tract 9545.01,70,32,513,20407000,24
census_tract,54047954503,1400000US54047954503,Census Tract 9545.03,223,79,1567,113744000,99
census_tract,54047954504,1400000US54047954504,Census Tract 9545.04,101,49,580,96552000,51
census_tract,54049020100,1400000US54049020100,Census Tract 201,237,96,1746,85409000,103
census_tract,54049020200,1400000US54049020200,Census Tract 202,189,113,1767,209695000,145
census_tract,54049020300,1400000US54049020300,Census Tract 203,150,82,1287,169705000,114
census_tract,54049020400,1400000US54049020400,Census Tract 204,47,35,644,58893000,34
census_tract,54049020500,1400000US54049020500,Census Tract 205,32,25,400,23234000,17
census_tract,54049020600,1400000US54049020600,Census Tract 206,21,19,483,13952000,12
census_tract,54049020700,1400000US54049020700,Census Tract 207,116,64,1357,219854000,82
census_tract,54049020800,1400000US54049020800,Census Tract 208,105,63,950,78629000,68
census_tract,54049020900,1400000US54049020900,Census Tract 209,156,92,1988,306073000,111
census_tract,54049021100,1400000US54049021100,Census Tract 211,62,46,699,53497000,45
census_tract,54049021202,1400000US54049021202,Census Tract 212.02,178,110,2454,716648000,136
census_tract,54049021001,1400000US54049021001,Census Tract 210.01,38,32,228,66447000,29
census_tract,54049021002,1400000US54049021002,Census Tract 210.02,22,18,87,7557000,15
census_tract,54049021201,1400000US54049021201,Census Tract 212.01,234,127,2052,309686000,184
census_tract,54049021300,1400000US54049021300,Census Tract 213,54,28,247,12921000,22
census_tract,54049021400,1400000US54049021400,Census Tract 214,33,23,147,15116000,19
census_tract,54049021500,1400000US54049021500,Census Tract 215,46,34,268,53787000,25
census_tract,54049021601,1400000US54049021601,Census Tract 216.01,36,24,177,11329000,22
census_tract,54049021602,1400000US54049021602,Census Tract 216.02,54,37,434,16119000,24
census_tract,54049021700,1400000US54049021700,Census Tract 217,83,59,1051,147987000,49
